"word" "freq"
"utc" "utc" 402
"plus" "plus" 301
"com" "com" 225
"tous" "tous" 221
"tout" "tout" 182
"https" "https" 177
"bien" "bien" 158
"www" "www" 152
"soir" "soir" 149
"faire" "faire" 148
"demain" "demain" 147
"alors" "alors" 142
"pic" "pic" 133
"http" "http" 127
"place" "place" 124
"assos" "assos" 122
"facebook" "facebook" 122
"bde" "bde" 118
"viens" "viens" 115
"salut" "salut" 113
"encore" "encore" 111
"asso" "asso" 107
"être" "être" 106
"soirée" "soirée" 102
"aussi" "aussi" 101
"comme" "comme" 90
"places" "places" 86
"mars" "mars" 84
"fait" "fait" 82
"semestre" "semestre" 82
"équipe" "équipe" 81
"semaine" "semaine" 80
"venir" "venir" 80
"attend" "attend" 77
"journée" "journée" 77
"lieu" "lieu" 77
"venez" "venez" 76
"gala" "gala" 75
"billetterie" "billetterie" 73
"étudiants" "étudiants" 73
"toute" "toute" 72
"deux" "deux" 70
"events" "events" 70
"voir" "voir" 70
"petit" "petit" 69
"samedi" "samedi" 69
"team" "team" 69
"mercredi" "mercredi" 67
"shotgun" "shotgun" 67
"avant" "avant" 66
"festupic" "festupic" 66
"infos" "infos" 65
"mail" "mail" 65
"merci" "merci" 65
"après" "après" 64
"pmde" "pmde" 64
"déjà" "déjà" 62
"donc" "donc" 62
"mai" "mai" 62
"site" "site" 62
"découvrir" "découvrir" 60
"juin" "juin" 60
"polar" "polar" 60
"avoir" "avoir" 59
"jeudi" "jeudi" 59
"nombreux" "nombreux" 58
"prendre" "prendre" 58
"très" "très" 57
"jda" "jda" 56
"temps" "temps" 54
"entre" "entre" 53
"année" "année" 52
"lundi" "lundi" 52
"bonjour" "bonjour" 51
"compte" "compte" 51
"lien" "lien" 51
"recrutement" "recrutement" 51
"besoin" "besoin" 50
"perm" "perm" 50
"toujours" "toujours" 50
"toutes" "toutes" 50
"veux" "veux" 50
"amphi" "amphi" 49
"autres" "autres" 49
"ceux" "ceux" 49
"groupe" "groupe" 49
"oubliez" "oubliez" 49
"aujourd" "aujourd" 48
"hui" "hui" 48
"jusqu" "jusqu" 48
"monde" "monde" 48
"peu" "peu" 48
"pouvez" "pouvez" 48
"événement" "événement" 47
"midi" "midi" 47
"oui" "oui" 47
"bière" "bière" 46
"bon" "bon" 46
"hésitez" "hésitez" 46
"présentation" "présentation" 46
"resp" "resp" 46
"bisous" "bisous" 45
"non" "non" 44
"occasion" "occasion" 44
"participer" "participer" 44
"peux" "peux" 44
"fin" "fin" 43
"tremplin" "tremplin" 43
"bonne" "bonne" 42
"festu" "festu" 42
"grand" "grand" 42
"partir" "partir" 42
"concours" "concours" 41
"hésite" "hésite" 41
"houblon" "houblon" 41
"peut" "peut" 41
"usec" "usec" 41
"voie" "voie" 41
"inscrire" "inscrire" 40
"super" "super" 40
"uppercut" "uppercut" 40
"week" "week" 40
"association" "association" 39
"avril" "avril" 39
"bureau" "bureau" 39
"projet" "projet" 39
"surtout" "surtout" 39
"voici" "voici" 39
"folie" "folie" 38
"liste" "liste" 38
"mardi" "mardi" 38
"prix" "prix" 38
"vendredi" "vendredi" 38
"end" "end" 37
"escom" "escom" 37
"photos" "photos" 37
"propose" "propose" 37
"recherche" "recherche" 37
"salle" "salle" 37
"également" "également" 36
"ème" "ème" 36
"forms" "forms" 36
"gagner" "gagner" 36
"lors" "lors" 36
"maintenant" "maintenant" 36
"rejoindre" "rejoindre" 36
"rendez" "rendez" 36
"reste" "reste" 36
"utcéens" "utcéens" 36
"nouveau" "nouveau" 35
"nouvelle" "nouvelle" 35
"prochain" "prochain" 35
"programme" "programme" 35
"bientôt" "bientôt" 34
"bise" "bise" 34
"chaque" "chaque" 34
"dès" "dès" 34
"panier" "panier" 34
"fois" "fois" 33
"page" "page" 33
"phil" "phil" 33
"projets" "projets" 33
"quoi" "quoi" 33
"adresse" "adresse" 32
"membres" "membres" 32
"passer" "passer" 32
"quelques" "quelques" 32
"rappel" "rappel" 32
"rien" "rien" 32
"aller" "aller" 31
"amis" "amis" 31
"bières" "bières" 31
"février" "février" 31
"parce" "parce" 31
"première" "première" 31
"responsable" "responsable" 31
"compiègne" "compiègne" 30
"dernière" "dernière" 30
"envoyer" "envoyer" 30
"juste" "juste" 30
"quand" "quand" 30
"vite" "vite" 30
"allez" "allez" 29
"étudiant" "étudiant" 29
"expérience" "expérience" 29
"fil" "fil" 29
"mieux" "mieux" 29
"moment" "moment" 29
"personnes" "personnes" 29
"petite" "petite" 29
"trop" "trop" 29
"vente" "vente" 29
"youtube" "youtube" 29
"faut" "faut" 28
"inscriptions" "inscriptions" 28
"jours" "jours" 28
"paris" "paris" 28
"scène" "scène" 28
"tournoi" "tournoi" 28
"afin" "afin" 27
