"word" "freq"
"utc" "utc" 402
"tout" "tout" 304
"plus" "plus" 301
"soir" "soir" 257
"tous" "tous" 221
"plac" "plac" 211
"ven" "ven" 161
"bien" "bien" 158
"fair" "fair" 148
"demain" "demain" 147
"alor" "alor" 142
"pic" "pic" 140
"assos" "assos" 122
"bde" "bde" 118
"salut" "salut" 117
"vien" "vien" 116
"encor" "encor" 111
"présent" "présent" 111
"étudi" "étudi" 109
"attend" "attend" 108
"asso" "asso" 107
"être" "être" 107
"bon" "bon" 105
"auss" "auss" 101
"fait" "fait" 96
"hésit" "hésit" 96
"semain" "semain" 95
"part" "part" 93
"équip" "équip" 90
"éven" "éven" 90
"mar" "mar" 86
"organis" "organis" 86
"envoi" "envoi" 85
"semestr" "semestr" 85
"group" "group" 84
"pass" "pass" 84
"event" "event" 83
"grand" "grand" 83
"journ" "journ" 80
"particip" "particip" 78
"bier" "bier" 77
"lieu" "lieu" 77
"associ" "associ" 76
"recrut" "recrut" 76
"gal" "gal" 75
"team" "team" 75
"post" "post" 74
"propos" "propos" 74
"billetter" "billetter" 73
"projet" "projet" 73
"voir" "voir" 72
"oubl" "oubl" 71
"pet" "pet" 71
"découvr" "découvr" 70
"deux" "deux" 70
"fin" "fin" 70
"autr" "autr" 69
"don" "don" 69
"samed" "samed" 69
"mercred" "mercred" 68
"utcéen" "utcéen" 68
"anim" "anim" 67
"merc" "merc" 67
"shotgun" "shotgun" 67
"aim" "aim" 66
"avant" "avant" 66
"festupic" "festupic" 66
"nouvel" "nouvel" 66
"prendr" "prendr" 66
"derni" "derni" 65
"infos" "infos" 65
"mail" "mail" 65
"nombreux" "nombreux" 65
"premi" "premi" 65
"apres" "apres" 64
"pmde" "pmde" 64
"quelqu" "quelqu" 63
"anné" "anné" 62
"déjà" "déjà" 62
"donc" "donc" 62
"mai" "mai" 62
"sit" "sit" 62
"rest" "rest" 61
"juin" "juin" 60
"polar" "polar" 60
"pte" "pte" 60
"avoir" "avoir" 59
"jeud" "jeud" 59
"pourr" "pourr" 59
"perm" "perm" 58
"list" "list" 57
"tres" "tres" 57
"jda" "jda" 56
"jour" "jour" 55
"jusqu" "jusqu" 55
"lien" "lien" 55
"rappel" "rappel" 55
"prochain" "prochain" 54
"temp" "temp" 54
"besoin" "besoin" 53
"entre" "entre" 53
"mand" "mand" 53
"nouveau" "nouveau" 53
"lund" "lund" 52
"pouv" "pouv" 52
"seul" "seul" 52
"bonjour" "bonjour" 51
"houblon" "houblon" 51
"mid" "mid" 51
"petit" "petit" 51
"intéress" "intéress" 50
"toujour" "toujour" 50
"veux" "veux" 50
"amphi" "amphi" 49
"ceux" "ceux" 49
"mond" "mond" 49
"pani" "pani" 49
"aujourd" "aujourd" 48
"gagn" "gagn" 48
"hui" "hui" 48
"inscript" "inscript" 48
"peu" "peu" 48
"form" "form" 47
"oui" "oui" 47
"resp" "resp" 46
"retrouv" "retrouv" 46
"bisous" "bisous" 45
"direct" "direct" 45
"occas" "occas" 45
"person" "person" 45
"membr" "membr" 44
"non" "non" 44
"peux" "peux" 44
"voi" "voi" 44
"vot" "vot" 44
"inform" "inform" 43
"motiv" "motiv" 43
"tremplin" "tremplin" 43
"vent" "vent" 43
"concour" "concour" 42
"festu" "festu" 42
"format" "format" 42
"ouvert" "ouvert" 42
"recherch" "recherch" 42
"peut" "peut" 41
"plein" "plein" 41
"rend" "rend" 41
"sall" "sall" 41
"spectacl" "spectacl" 41
"usec" "usec" 41
"arriv" "arriv" 40
"fol" "fol" 40
"inscrir" "inscrir" 40
